STATE,STATE_AB,COUNTY,TVDMA,STATEFP,COUNTYFP,COUNTY_PROPER,,,
ARKANSAS,AR,PRAIRIE," Little Rock - Pine Bluff, AR DMA",05,117,Prairie,,,
ARKANSAS,AR,PULASKI," Little Rock - Pine Bluff, AR DMA",05,119,Pulaski,,,
ARKANSAS,AR,RANDOLPH," Jonesboro, AR - MO DMA",05,121,Randolph,,,
ARKANSAS,AR,SALINE," Little Rock - Pine Bluff, AR DMA",05,125,Saline,,,
ARKANSAS,AR,SCOTT," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,127,Scott,,,
ARKANSAS,AR,SEARCY," Little Rock - Pine Bluff, AR DMA",05,129,Searcy,,,
ARKANSAS,AR,SEBASTIAN," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,131,Sebastian,,,
ARKANSAS,AR,SEVIER," Shreveport, LA - AR - OK - TX DMA",05,133,Sevier,,,
ARKANSAS,AR,SHARP," Jonesboro, AR - MO DMA",05,135,Sharp,,,
ARKANSAS,AR,STONE," Little Rock - Pine Bluff, AR DMA",05,137,Stone,,,
ARKANSAS,AR,UNION," Monroe - El Dorado, LA - AR DMA",05,139,Union,,,
ARKANSAS,AR,VAN BUREN," Little Rock - Pine Bluff, AR DMA",05,141,Van Buren,,,
ARKANSAS,AR,WASHINGTON," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,143,Washington,,,
ARKANSAS,AR,WHITE," Little Rock - Pine Bluff, AR DMA",05,145,White,,,
ARKANSAS,AR,WOODRUFF," Little Rock - Pine Bluff, AR DMA",05,147,Woodruff,,,
ARKANSAS,AR,YELL," Little Rock - Pine Bluff, AR DMA",05,149,Yell,,,
ARKANSAS,AR,ST FRANCIS," Memphis, TN - AR- MS - MO DMA",05,123,St. Francis,,,
ARIZONA,AZ,APACHE," Albuquerque - Santa Fe, NM - AZ - CO DMA",04,001,Apache,,,
ARIZONA,AZ,COCHISE," Tucson (Nogales), AZ DMA",04,003,Cochise,,,
ARIZONA,AZ,COCONINO," Phoenix, AZ DMA",04,005,Coconino,,,
ARIZONA,AZ,GILA," Phoenix, AZ DMA",04,007,Gila,,,
ARIZONA,AZ,GRAHAM," Phoenix, AZ DMA",04,009,Graham,,,
ARIZONA,AZ,GREENLEE," Phoenix, AZ DMA",04,011,Greenlee,,,
ARIZONA,AZ,LA PAZ," Phoenix, AZ DMA",04,012,La Paz,,,
ARIZONA,AZ,MARICOPA," Phoenix, AZ DMA",04,013,Maricopa,,,
ARIZONA,AZ,MOHAVE," Phoenix, AZ DMA",04,015,Mohave,,,
ARIZONA,AZ,NAVAJO," Phoenix, AZ DMA",04,017,Navajo,,,
ARIZONA,AZ,PIMA," Tucson (Nogales), AZ DMA",04,019,Pima,,,
ARIZONA,AZ,PINAL," Phoenix, AZ DMA",04,021,Pinal,,,
ARIZONA,AZ,SANTA CRUZ," Tucson (Nogales), AZ DMA",04,023,Santa Cruz,,,
ARIZONA,AZ,YAVAPAI," Phoenix, AZ DMA",04,025,Yavapai,,,
ARIZONA,AZ,YUMA," Yuma - El Centro, AZ - CA DMA",04,027,Yuma,,,
CALIFORNIA,CA,ALAMEDA," San Francisco - Oakland - San Jose, CA DMA",06,001,Alameda,,,
CALIFORNIA,CA,ALPINE," Reno, NV - CA DMA",06,003,Alpine,,,
CALIFORNIA,CA,AMADOR," Sacramento - Stockton - Modesto, CA DMA",06,005,Amador,,,
CALIFORNIA,CA,BUTTE," Chico - Redding, CA DMA",06,007,Butte,,,
CALIFORNIA,CA,CALAVERAS," Sacramento - Stockton - Modesto, CA DMA",06,009,Calaveras,,,
CALIFORNIA,CA,COLUSA," Sacramento - Stockton - Modesto, CA DMA",06,011,Colusa,,,
CALIFORNIA,CA,CONTRA COSTA," San Francisco - Oakland - San Jose, CA DMA",06,013,Contra Costa,,,
CALIFORNIA,CA,DEL NORTE," Eureka, CA DMA",06,015,Del Norte,,,
CALIFORNIA,CA,EL DORADO," Sacramento - Stockton - Modesto, CA DMA",06,017,El Dorado,,,
CALIFORNIA,CA,FRESNO," Fresno - Visalia, CA DMA",06,019,Fresno,,,
CALIFORNIA,CA,GLENN," Chico - Redding, CA DMA",06,021,Glenn,,,
CALIFORNIA,CA,HUMBOLDT," Eureka, CA DMA",06,023,Humboldt,,,
CALIFORNIA,CA,IMPERIAL," Yuma - El Centro, AZ - CA DMA",06,025,Imperial,,,
CALIFORNIA,CA,INYO," Los Angeles, CA DMA",06,027,Inyo,,,
CALIFORNIA,CA,KERN," Bakersfield, CA DMA",06,029,Kern,,,
CALIFORNIA,CA,KINGS," Fresno - Visalia, CA DMA",06,031,Kings,,,
CALIFORNIA,CA,LAKE," San Francisco - Oakland - San Jose, CA DMA",06,033,Lake,,,
CALIFORNIA,CA,LASSEN," Reno, NV - CA DMA",06,035,Lassen,,,
CALIFORNIA,CA,LOS ANGELES," Los Angeles, CA DMA",06,037,Los Angeles,,,
CALIFORNIA,CA,MADERA," Fresno - Visalia, CA DMA",06,039,Madera,,,
CALIFORNIA,CA,MARIN," San Francisco - Oakland - San Jose, CA DMA",06,041,Marin,,,
CALIFORNIA,CA,MARIPOSA," Fresno - Visalia, CA DMA",06,043,Mariposa,,,
CALIFORNIA,CA,MENDOCINO," San Francisco - Oakland - San Jose, CA DMA",06,045,Mendocino,,,
CALIFORNIA,CA,MERCED," Fresno - Visalia, CA DMA",06,047,Merced,,,
CALIFORNIA,CA,MODOC," Medford - Klamath Falls, OR - CA DMA",06,049,Modoc,,,
CALIFORNIA,CA,MONO," Reno, NV - CA DMA",06,051,Mono,,,
CALIFORNIA,CA,MONTEREY," Monterey - Salinas, CA DMA",06,053,Monterey,,,
CALIFORNIA,CA,NAPA," San Francisco - Oakland - San Jose, CA DMA",06,055,Napa,,,
CALIFORNIA,CA,NEVADA," Sacramento - Stockton - Modesto, CA DMA",06,057,Nevada,,,
CALIFORNIA,CA,ORANGE," Los Angeles, CA DMA",06,059,Orange,,,
CALIFORNIA,CA,PLACER," Sacramento - Stockton - Modesto, CA DMA",06,061,Placer,,,
CALIFORNIA,CA,PLUMAS," Sacramento - Stockton - Modesto, CA DMA",06,063,Plumas,,,
CALIFORNIA,CA,RIVERSIDE," Palm Springs, CA DMA",06,065,Riverside,,,
CALIFORNIA,CA,SACRAMENTO," Sacramento - Stockton - Modesto, CA DMA",06,067,Sacramento,,,
CALIFORNIA,CA,SAN BENITO," Monterey - Salinas, CA DMA",06,069,San Benito,,,
CALIFORNIA,CA,SAN BERNARDINO," Los Angeles, CA DMA",06,071,San Bernardino,,,
CALIFORNIA,CA,SAN DIEGO," San Diego, CA DMA",06,073,San Diego,,,
CALIFORNIA,CA,SAN FRANCISCO," San Francisco - Oakland - San Jose, CA DMA",06,075,San Francisco,,,
CALIFORNIA,CA,SAN JOAQUIN," Sacramento - Stockton - Modesto, CA DMA",06,077,San Joaquin,,,
CALIFORNIA,CA,SAN LUIS OBISPO," Santa Barbara - Santa Maria - San Luis Obispo, CA DMA",06,079,San Luis Obispo,,,
CALIFORNIA,CA,SAN MATEO," San Francisco - Oakland - San Jose, CA DMA",06,081,San Mateo,,,
CALIFORNIA,CA,SANTA BARBARA," Santa Barbara - Santa Maria - San Luis Obispo, CA DMA",06,083,Santa Barbara,,,
CALIFORNIA,CA,SANTA CLARA," San Francisco - Oakland - San Jose, CA DMA",06,085,Santa Clara,,,
CALIFORNIA,CA,SANTA CRUZ," Monterey - Salinas, CA DMA",06,087,Santa Cruz,,,
CALIFORNIA,CA,SHASTA," Chico - Redding, CA DMA",06,089,Shasta,,,
CALIFORNIA,CA,SIERRA," Sacramento - Stockton - Modesto, CA DMA",06,091,Sierra,,,
CALIFORNIA,CA,SISKIYOU," Medford - Klamath Falls, OR - CA DMA",06,093,Siskiyou,,,
CALIFORNIA,CA,SOLANO," San Francisco - Oakland - San Jose, CA DMA",06,095,Solano,,,
CALIFORNIA,CA,SONOMA," San Francisco - Oakland - San Jose, CA DMA",06,097,Sonoma,,,
CALIFORNIA,CA,STANISLAUS," Sacramento - Stockton - Modesto, CA DMA",06,099,Stanislaus,,,
CALIFORNIA,CA,SUTTER," Sacramento - Stockton - Modesto, CA DMA",06,101,Sutter,,,
CALIFORNIA,CA,TEHAMA," Chico - Redding, CA DMA",06,103,Tehama,,,
CALIFORNIA,CA,TRINITY," Chico - Redding, CA DMA",06,105,Trinity,,,
CALIFORNIA,CA,TULARE," Fresno - Visalia, CA DMA",06,107,Tulare,,,
CALIFORNIA,CA,TUOLUMNE," Sacramento - Stockton - Modesto, CA DMA",06,109,Tuolumne,,,
CALIFORNIA,CA,VENTURA," Los Angeles, CA DMA",06,111,Ventura,,,
CALIFORNIA,CA,YOLO," Sacramento - Stockton - Modesto, CA DMA",06,113,Yolo,,,
CALIFORNIA,CA,YUBA," Sacramento - Stockton - Modesto, CA DMA",06,115,Yuba,,,
COLORADO,CO,ADAMS," Denver, CO - NE - NV - WY DMA",08,001,Adams,,,
COLORADO,CO,ALAMOSA," Denver, CO - NE - NV - WY DMA",08,003,Alamosa,,,
COLORADO,CO,ARAPAHOE," Denver, CO - NE - NV - WY DMA",08,005,Arapahoe,,,
COLORADO,CO,ARCHULETA," Denver, CO - NE - NV - WY DMA",08,007,Archuleta,,,
COLORADO,CO,BACA," Colorado Springs - Pueblo, CO DMA",08,009,Baca,,,
COLORADO,CO,BENT," Colorado Springs - Pueblo, CO DMA",08,011,Bent,,,
COLORADO,CO,BOULDER," Denver, CO - NE - NV - WY DMA",08,013,Boulder,,,
COLORADO,CO,CHAFFEE," Denver, CO - NE - NV - WY DMA",08,015,Chaffee,,,
COLORADO,CO,CHEYENNE," Colorado Springs - Pueblo, CO DMA",08,017,Cheyenne,,,
COLORADO,CO,CLEAR CREEK," Denver, CO - NE - NV - WY DMA",08,019,Clear Creek,,,
COLORADO,CO,CONEJOS," Denver, CO - NE - NV - WY DMA",08,021,Conejos,,,
COLORADO,CO,COSTILLA," Albuquerque - Santa Fe, NM - AZ - CO DMA",08,023,Costilla,,,
COLORADO,CO,CROWLEY," Colorado Springs - Pueblo, CO DMA",08,025,Crowley,,,
COLORADO,CO,CUSTER," Denver, CO - NE - NV - WY DMA",08,027,Custer,,,
COLORADO,CO,DELTA," Denver, CO - NE - NV - WY DMA",08,029,Delta,,,
COLORADO,CO,DENVER," Denver, CO - NE - NV - WY DMA",08,031,Denver,,,
COLORADO,CO,DOLORES," Grand Junction - Montrose, CO DMA",08,033,Dolores,,,
COLORADO,CO,DOUGLAS," Denver, CO - NE - NV - WY DMA",08,035,Douglas,,,
COLORADO,CO,EAGLE," Denver, CO - NE - NV - WY DMA",08,037,Eagle,,,
COLORADO,CO,ELBERT," Denver, CO - NE - NV - WY DMA",08,039,Elbert,,,
